
Integration time [ms]: 500.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1901096U1
Wave   ;Sample   ;Dark     ;Reference;Absolute Irradiance  ;Photon Counts
[nm]   ;[counts] ;[counts] ;[counts] ;[µWatt/cm?/nm]       ;[µMol/s/m?/nm]

 155.82;  219.352;  220.336;   69.357; 0.00000; 0.00000
 156.42;  242.666;  239.240;   98.706; 0.00000; 0.00000
 157.03;  242.567;  223.041;   92.018; 0.00000; 0.00000
 157.63;  222.264;  212.140;   78.786; 0.00000; 0.00000
 158.23;  241.763;  215.440;   94.680; 0.00000; 0.00000
 158.84;  267.972;  233.042;  119.574; 0.00000; 0.00000
 159.44;  226.560;  229.939;   82.550; 0.00000; 0.00000
 160.04;  255.657;  233.638;  102.110; 0.00000; 0.00000
 160.64;  300.160;  291.439;   93.044; 0.00000; 0.00000
 161.25;  257.967;  242.041;  112.923; 0.00000; 0.00000
 161.85;  266.863;  250.139;  109.378; 0.00000; 0.00000
 162.45;  236.656;  214.738;   90.607; 0.00000; 0.00000
 163.06;  273.760;  268.439;   94.943; 0.00000; 0.00000
 163.66;  271.670;  254.041;   96.745; 0.00000; 0.00000
 164.26;  230.848;  228.235;   70.019; 0.00000; 0.00000
 164.86;  228.050;  223.836;  112.245; 0.00000; 0.00000
 165.47;  261.038;  222.006;  144.771; 0.00000; 0.00000
 166.07;  239.433;  227.405;  171.417; 0.00000; 0.00000
 166.67;  247.830;  221.004;  157.886; 0.00000; 0.00000
 167.27;  256.336;  227.505;  165.443; 0.00000; 0.00000
 167.88;  256.030;  243.204;  176.084; 0.00000; 0.00000
 168.48;  299.924;  270.602;  149.416; 0.00000; 0.00000
 169.08;  276.328;  255.003;  149.165; 0.00000; 0.00000
 169.68;  271.344;  266.507;  196.226; 0.00000; 0.00000
 170.29;  312.024;  279.502;  174.114; 0.00000; 0.00000
 170.89;  275.430;  246.104;  182.177; 0.00000; 0.00000
 171.49;  286.229;  267.103;  158.870; 0.00000; 0.00000
 172.09;  264.531;  243.304;  197.793; 0.00000; 0.00000
 172.70;  275.417;  241.700;  178.950; 0.00000; 0.00000
 173.30;  334.223;  312.302;  192.313; 0.00000; 0.00000
 173.90;  236.912;  227.899;  149.290; 0.00000; 0.00000
 174.50;  400.317;  342.200;  169.250; 0.00000; 0.00000
 175.11;  338.122;  290.801;  178.397; 0.00000; 0.00000
 175.71;  234.234;  202.005;  163.326; 0.00000; 0.00000
 176.31;  234.932;  201.904;  157.407; 0.00000; 0.00000
 176.91;  241.720;  218.401;  166.476; 0.00000; 0.00000
 177.51;  250.516;  227.000;  169.037; 0.00000; 0.00000
 178.12;  316.219;  302.301;  189.172; 0.00000; 0.00000
 178.72;  295.828;  269.103;  188.859; 0.00000; 0.00000
 179.32;  303.621;  283.101;  182.185; 0.00000; 0.00000
 179.92;  233.020;  227.101;  182.480; 0.00000; 0.00000
 180.52;  404.434;  333.605;  194.824; 0.00000; 0.00000
 181.13;  277.112;  252.699;  169.191; 0.00000; 0.00000
 181.73;  248.225;  213.902;  204.825; 0.00000; 0.00000
 182.33;  269.112;  243.799;  191.492; 0.00000; 0.00000
 182.93;  259.215;  233.800;  210.121; 0.00000; 0.00000
 183.54;  214.405;  182.997;  146.515; 0.00000; 0.00000
 184.14;  228.225;  204.202;  159.832; 0.00000; 0.00000
 184.74;  334.425;  274.302;  211.228; 0.00000; 0.00000
 185.34;  250.635;  224.105;  232.734; 0.10846; 0.00168
 185.94;  288.513;  259.299;  205.003; 0.14455; 0.00225
