
Integration time [ms]: 500.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1901096U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 155.82;  217.568;  220.336;   69.357;-2.76810
 156.42;  245.975;  239.240;   98.706; 6.73520
 157.03;  233.976;  223.041;   92.018;10.93544
 157.63;  207.474;  212.140;   78.786;-4.66525
 158.23;  241.274;  215.440;   94.680;25.83462
 158.84;  246.579;  233.042;  119.574;13.53669
 159.44;  229.073;  229.939;   82.550;-0.86605
 160.04;  252.771;  233.638;  102.110;19.13307
 160.64;  293.672;  291.439;   93.044; 2.23382
 161.25;  264.976;  242.041;  112.923;22.93556
 161.85;  272.974;  250.139;  109.378;22.83456
 162.45;  235.271;  214.738;   90.607;20.53301
 163.06;  266.572;  268.439;   94.943;-1.86620
 163.66;  260.077;  254.041;   96.745; 6.03606
 164.26;  230.166;  228.235;   70.019; 1.93106
 164.86;  227.168;  223.836;  112.245; 3.33163
 165.47;  240.812;  222.006;  144.771;18.80580
 166.07;  242.909;  227.405;  171.417;15.50461
 166.67;  236.808;  221.004;  157.886;15.80394
 167.27;  248.110;  227.505;  165.443;20.60519
 167.88;  253.808;  243.204;  176.084;10.60390
 168.48;  286.004;  270.602;  149.416;15.40240
 169.08;  270.407;  255.003;  149.165;15.40347
 169.68;  262.714;  266.507;  196.226;-3.79299
 170.29;  282.304;  279.502;  174.114; 2.80236
 170.89;  260.007;  246.104;  182.177;13.90373
 171.49;  286.407;  267.103;  158.870;19.30359
 172.09;  254.708;  243.304;  197.793;11.40410
 172.70;  264.101;  241.700;  178.950;22.40095
 173.30;  334.804;  312.302;  192.313;22.50232
 173.90;  216.998;  227.899;  149.290;-10.90038
 174.50;  353.401;  342.200;  169.250;11.20095
 175.11;  313.903;  290.801;  178.397;23.10197
 175.71;  225.110;  202.005;  163.326;23.10482
 176.31;  217.509;  201.904;  157.407;15.60441
 176.91;  249.202;  218.401;  166.476;30.80152
 177.51;  230.801;  227.000;  169.037; 3.80066
 178.12;  307.702;  302.301;  189.172; 5.40142
 178.72;  291.906;  269.103;  188.859;22.80334
 179.32;  287.103;  283.101;  182.185; 4.00171
