
Integration time [ms]: 500.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1901096U1
Wave   ;Sample   ;Dark     ;Reference;Absolute Irradiance  ;Photon Counts
[nm]   ;[counts] ;[counts] ;[counts] ;[µWatt/cm?/nm]       ;[µMol/s/m?/nm]

 155.82;  219.808;  220.336;   69.357; 0.00000; 0.00000
 156.42;  253.021;  239.240;   98.706; 0.00000; 0.00000
 157.03;  234.222;  223.041;   92.018; 0.00000; 0.00000
 157.63;  222.019;  212.140;   78.786; 0.00000; 0.00000
 158.23;  230.519;  215.440;   94.680; 0.00000; 0.00000
 158.84;  241.426;  233.042;  119.574; 0.00000; 0.00000
 159.44;  230.816;  229.939;   82.550; 0.00000; 0.00000
 160.04;  241.013;  233.638;  102.110; 0.00000; 0.00000
 160.64;  300.915;  291.439;   93.044; 0.00000; 0.00000
 161.25;  251.322;  242.041;  112.923; 0.00000; 0.00000
 161.85;  281.918;  250.139;  109.378; 0.00000; 0.00000
 162.45;  243.712;  214.738;   90.607; 0.00000; 0.00000
 163.06;  268.115;  268.439;   94.943; 0.00000; 0.00000
 163.66;  261.724;  254.041;   96.745; 0.00000; 0.00000
 164.26;  235.905;  228.235;   70.019; 0.00000; 0.00000
 164.86;  238.107;  223.836;  112.245; 0.00000; 0.00000
 165.47;  248.208;  222.006;  144.771; 0.00000; 0.00000
 166.07;  253.304;  227.405;  171.417; 0.00000; 0.00000
 166.67;  253.501;  221.004;  157.886; 0.00000; 0.00000
 167.27;  250.406;  227.505;  165.443; 0.00000; 0.00000
 167.88;  263.601;  243.204;  176.084; 0.00000; 0.00000
 168.48;  311.695;  270.602;  149.416; 0.00000; 0.00000
 169.08;  269.999;  255.003;  149.165; 0.00000; 0.00000
 169.68;  276.813;  266.507;  196.226; 0.00000; 0.00000
 170.29;  292.795;  279.502;  174.114; 0.00000; 0.00000
 170.89;  264.500;  246.104;  182.177; 0.00000; 0.00000
 171.49;  297.800;  267.103;  158.870; 0.00000; 0.00000
 172.09;  273.102;  243.304;  197.793; 0.00000; 0.00000
 172.70;  253.889;  241.700;  178.950; 0.00000; 0.00000
 173.30;  344.595;  312.302;  192.313; 0.00000; 0.00000
 173.90;  239.784;  227.899;  149.290; 0.00000; 0.00000
 174.50;  390.989;  342.200;  169.250; 0.00000; 0.00000
 175.11;  339.993;  290.801;  178.397; 0.00000; 0.00000
 175.71;  231.104;  202.005;  163.326; 0.00000; 0.00000
 176.31;  232.903;  201.904;  157.407; 0.00000; 0.00000
 176.91;  257.092;  218.401;  166.476; 0.00000; 0.00000
 177.51;  264.088;  227.000;  169.037; 0.00000; 0.00000
 178.12;  338.491;  302.301;  189.172; 0.00000; 0.00000
 178.72;  316.299;  269.103;  188.859; 0.00000; 0.00000
 179.32;  309.992;  283.101;  182.185; 0.00000; 0.00000
 179.92;  242.592;  227.101;  182.480; 0.00000; 0.00000
 180.52;  402.504;  333.605;  194.824; 0.00000; 0.00000
 181.13;  282.584;  252.699;  169.191; 0.00000; 0.00000
 181.73;  234.496;  213.902;  204.825; 0.00000; 0.00000
 182.33;  276.485;  243.799;  191.492; 0.00000; 0.00000
 182.93;  252.687;  233.800;  210.121; 0.00000; 0.00000
 183.54;  205.378;  182.997;  146.515; 0.00000; 0.00000
 184.14;  238.596;  204.202;  159.832; 0.00000; 0.00000
 184.74;  320.896;  274.302;  211.228; 0.00000; 0.00000
 185.34;  244.805;  224.105;  232.734; 0.08463; 0.00131
 185.94;  286.085;  259.299;  205.003; 0.13254; 0.00206
